Ebeam     Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
    8.5650   1.8400   8.6000   0.0281   0.3544  0.25260E+03  0.25260E+03  0.00000E+00  0.30083E+03  0.14026E+03  0.00000E+00  0.16058E+03  0.42580E+00
    8.5650   1.8500   8.6000   0.0283   0.3563  0.25279E+03  0.25279E+03  0.00000E+00  0.29925E+03  0.13861E+03  0.00000E+00  0.16065E+03  0.42589E+00
    8.5650   1.8600   8.6000   0.0285   0.3582  0.25298E+03  0.25298E+03  0.00000E+00  0.29769E+03  0.13698E+03  0.00000E+00  0.16071E+03  0.42598E+00
    8.5650   1.8700   8.6000   0.0287   0.3602  0.25317E+03  0.25317E+03  0.00000E+00  0.29615E+03  0.13539E+03  0.00000E+00  0.16076E+03  0.42607E+00
    8.5650   1.8800   8.6000   0.0289   0.3621  0.25337E+03  0.25337E+03  0.00000E+00  0.29464E+03  0.13381E+03  0.00000E+00  0.16083E+03  0.42617E+00
    8.5650   1.8900   8.6000   0.0291   0.3640  0.25357E+03  0.25357E+03  0.00000E+00  0.29316E+03  0.13227E+03  0.00000E+00  0.16089E+03  0.42626E+00
    8.5650   1.9000   8.6000   0.0293   0.3659  0.25378E+03  0.25378E+03  0.00000E+00  0.29170E+03  0.13074E+03  0.00000E+00  0.16096E+03  0.42635E+00
    8.5650   1.9100   8.6000   0.0295   0.3679  0.25398E+03  0.25398E+03  0.00000E+00  0.29027E+03  0.12924E+03  0.00000E+00  0.16103E+03  0.42645E+00
    8.5650   1.9200   8.6000   0.0297   0.3698  0.25419E+03  0.25419E+03  0.00000E+00  0.28886E+03  0.12776E+03  0.00000E+00  0.16110E+03  0.42654E+00
    8.5650   1.9300   8.6000   0.0299   0.3717  0.25441E+03  0.25441E+03  0.00000E+00  0.28747E+03  0.12631E+03  0.00000E+00  0.16116E+03  0.42663E+00
    8.5650   1.9400   8.6000   0.0301   0.3737  0.25462E+03  0.25462E+03  0.00000E+00  0.28611E+03  0.12488E+03  0.00000E+00  0.16123E+03  0.42673E+00
    8.5650   1.9500   8.6000   0.0303   0.3756  0.25484E+03  0.25484E+03  0.00000E+00  0.28477E+03  0.12347E+03  0.00000E+00  0.16130E+03  0.42682E+00
    8.5650   1.9600   8.6000   0.0305   0.3775  0.25506E+03  0.25506E+03  0.00000E+00  0.28345E+03  0.12208E+03  0.00000E+00  0.16138E+03  0.42691E+00
    8.5650   1.9700   8.6000   0.0307   0.3794  0.25528E+03  0.25528E+03  0.00000E+00  0.28216E+03  0.12071E+03  0.00000E+00  0.16145E+03  0.42701E+00
    8.5650   1.9800   8.6000   0.0309   0.3814  0.25551E+03  0.25551E+03  0.00000E+00  0.28088E+03  0.11936E+03  0.00000E+00  0.16152E+03  0.42710E+00
    8.5650   1.9900   8.6000   0.0311   0.3833  0.25573E+03  0.25573E+03  0.00000E+00  0.27962E+03  0.11803E+03  0.00000E+00  0.16159E+03  0.42720E+00
    8.5650   2.0000   8.6000   0.0313   0.3852  0.25596E+03  0.25596E+03  0.00000E+00  0.27838E+03  0.11672E+03  0.00000E+00  0.16165E+03  0.42729E+00
